Node,Type,Condition
Flathead Lakers,Social,Social
MT DOT,Social,Social
BLM Dillon,Social,Social
Flathead Landtrust,Social,Social
Gallatin Valley Land Trust,Social,Social
Geum Environmental Consulting,Social,Social
MARS,Social,Social
Mt Fish Wildlife and Parks (Kalispell),Social,Social
Trout Unlimited Missoula,Social,Social
USFWS Wetland Management District-Flathead County,Social,Social
Watershed Consulting LLC,Social,Social
West Valley Wetland,Ecological,A
 Smith Lake Wetland,Ecological,A
North Shore Wetland,Ecological,D
Flathead River Wetland,Ecological,B
CSKT Wetland,Ecological,D
Baker Lake,Ecological,D
North shore Flathead lake wma,Ecological,C
Ashley Creek Riparian Restoration,Ecological,C
Diamond B Riparian Restoration,Ecological,C
Foyes bend fisheries conservation area,Ecological,C
Brenneman Slough,Ecological,B
Haskill Basin,Ecological,B
Trumbull Creek,Ecological,C
Lazy Creek,Ecological,A
Kootenai River,Ecological,D
Upper Moose Pond,Ecological,D
Lower Moose Pond,Ecological,D
East Office Meadow,Ecological,D
Below Dahl Lake,Ecological,C
West Office Meadow,Ecological,D
Bridger Creek on Mast Ranch,Ecological,B
Murphy Ox Yoke Mitigation Wetland,Ecological,A
Malcolm CE Wetland,Ecological,B
Story Mill Park Wetlands,Ecological,C
Oyler Ranch Wetland Protection,Ecological,B
Sevenmile Creek,Ecological,A
Fox Creek,Ecological,B
Rau CME Easement,Ecological,A
Emond Ranch Prairie Pothole,Ecological,B
Ninemile,Ecological,D
Cedar,Ecological,D
Fish Creek,Ecological,B
Siever's Dam Removal and Wetland Restoration,Ecological,D
Flathead Lake Shoreline,Ecological,D
French Gulch,Ecological,C
California Creek,Ecological,D
Upper Clarkfork River,Ecological,D
Rostad Ranch Mitigation site,Ecological,C
Schrieber Lake Mitigation site,Ecological,B
Schrieber Meadows Mitigation site,Ecological,B
JTX Tunnicliff Mitigation site,Ecological,C
Little Basin Creek Trib,Ecological,D
Upper Clover Creek,Ecological,C
East Creek,Ecological,C
Island Butte Wetland,Ecological,D
Keystone Gulch Mesic,Ecological,D
