OBJECTID,Shape_Area,Name,Name_1,PNT_COUNT,PERCENTAGE,Overlap
1,0.035463675549114,Murphy Ox Yoke Mitigation Wetland,Murphy Ox Yoke Mitigation Wetland,1,100.000000000000000,
2,0.035618107160757,Island Butte Wetland,Island Butte Wetland,1,100.000000000000000,
3,0.035662420925344,Little Basin Creek Trib,Little Basin Creek Trib,1,100.000000000000000,
4,0.035662420925344,Little Basin Creek Trib,Upper Clover Creek,1,100.000000000000000,
5,0.035666703109846,Bridger Creek on Mast Ranch,Bridger Creek on Mast Ranch,1,100.000000000000000,
6,0.035686738607141,Upper Clover Creek,Little Basin Creek Trib,1,100.000000000000000,
7,0.035686738607141,Upper Clover Creek,Upper Clover Creek,1,100.000000000000000,
8,0.035740064818311,Keystone Gulch Mesic,Keystone Gulch Mesic,1,100.000000000000000,
9,0.035768748056604,East Creek,East Creek,1,100.000000000000000,
10,0.036006173794424,O'dell Creek,O'dell Creek,1,100.000000000000000,
11,0.036023628318240,Malcolm CE Wetland,Malcolm CE Wetland,1,100.000000000000000,
12,0.036285934488121,Story Mill Park Wetlands,Story Mill Park Wetlands,1,100.000000000000000,
13,0.036378077227388,JTX Tunnicliff Mitigation site,JTX Tunnicliff Mitigation site,1,100.000000000000000,
14,0.036395054273792,Oyler Ranch Wetland Protection,Oyler Ranch Wetland Protection,1,100.000000000000000,
15,0.036452093794283,French Gulch,California Creek,1,100.000000000000000,
16,0.036452093794283,French Gulch,French Gulch,1,100.000000000000000,
17,0.036493507410144,California Creek,California Creek,1,100.000000000000000,
18,0.036493507410144,California Creek,French Gulch,1,100.000000000000000,
19,0.036674465685568,Rau CME Easement,Rau CME Easement,1,100.000000000000000,
20,0.036716993475051,Baker Lake,Baker Lake,1,100.000000000000000,
21,0.036719525468674,Upper Clarkfork River,Upper Clarkfork River,1,100.000000000000000,
22,0.036728127766102,Canyon Ferry WMA,Canyon Ferry WMA,1,100.000000000000000,
23,0.036787053065809,Rostad Ranch Mitigation site,Rostad Ranch Mitigation site,1,100.000000000000000,
24,0.036910790056619,Sevenmile Creek,Sevenmile Creek,1,100.000000000000000,
25,0.037074311804735,Fish Creek,Fish Creek,1,100.000000000000000,
26,0.037092360776094,Rattlesnake Creek,Rattlesnake Creek,1,100.000000000000000,
27,0.037252814670427,Cedar,Cedar,1,100.000000000000000,
28,0.037303196624598,Ninemile,Ninemile,1,100.000000000000000,
29,0.037401514849577,MDT US 93 Peterson Wetland Mitigation Site,CSKT Wetland,1,100.000000000000000,
30,0.037401514849577,MDT US 93 Peterson Wetland Mitigation Site,MDT US 93 Peterson Wetland Mitigation Site,1,100.000000000000000,
31,0.037401514849577,MDT US 93 Peterson Wetland Mitigation Site,Post Creek,1,100.000000000000000,
32,0.037424752805064,Post Creek,CSKT Wetland,1,100.000000000000000,
33,0.037424752805064,Post Creek,MDT US 93 Peterson Wetland Mitigation Site,1,100.000000000000000,
