OBJECTID,Shape_Area,Name,Name_1,PNT_COUNT,PERCENTAGE
1,0.008864752535095,Murphy Ox Yoke Mitigation Wetland,Murphy Ox Yoke Mitigation Wetland,1,100.000000000000000
2,0.008903355353420,Island Butte Wetland,Island Butte Wetland,1,100.000000000000000
3,0.008914432319788,Little Basin Creek Trib,Little Basin Creek Trib,1,100.000000000000000
4,0.008915502720898,Bridger Creek on Mast Ranch,Bridger Creek on Mast Ranch,1,100.000000000000000
5,0.008920510932413,Upper Clover Creek,Upper Clover Creek,1,100.000000000000000
6,0.008933840706939,Keystone Gulch Mesic,Keystone Gulch Mesic,1,100.000000000000000
7,0.008941010573525,East Creek,East Creek,1,100.000000000000000
8,0.009000359138672,O'dell Creek,O'dell Creek,1,100.000000000000000
9,0.009004722186904,Malcolm CE Wetland,Malcolm CE Wetland,1,100.000000000000000
10,0.009070290047736,Story Mill Park Wetlands,Story Mill Park Wetlands,1,100.000000000000000
11,0.009093322674970,JTX Tunnicliff Mitigation site,JTX Tunnicliff Mitigation site,1,100.000000000000000
12,0.009097566373848,Oyler Ranch Wetland Protection,Oyler Ranch Wetland Protection,1,100.000000000000000
13,0.009111824361600,French Gulch,French Gulch,1,100.000000000000000
14,0.009122176397258,California Creek,California Creek,1,100.000000000000000
15,0.009167409968716,Rau CME Easement,Rau CME Easement,1,100.000000000000000
16,0.009178040517708,Baker Lake,Baker Lake,1,100.000000000000000
17,0.009178673419771,Upper Clarkfork River,Upper Clarkfork River,1,100.000000000000000
18,0.009180823695361,Canyon Ferry WMA,Canyon Ferry WMA,1,100.000000000000000
19,0.009195553075582,Rostad Ranch Mitigation site,Rostad Ranch Mitigation site,1,100.000000000000000
20,0.009226483226000,Sevenmile Creek,Sevenmile Creek,1,100.000000000000000
21,0.009267358265624,Fish Creek,Fish Creek,1,100.000000000000000
22,0.009271869888196,Rattlesnake Creek,Rattlesnake Creek,1,100.000000000000000
23,0.009311978055048,Cedar,Cedar,1,100.000000000000000
24,0.009324571848589,Ninemile,Ninemile,1,100.000000000000000
25,0.009349148142659,MDT US 93 Peterson Wetland Mitigation Site,MDT US 93 Peterson Wetland Mitigation Site,1,100.000000000000000
26,0.009349148142659,MDT US 93 Peterson Wetland Mitigation Site,Post Creek,1,100.000000000000000
27,0.009354956879384,Post Creek,MDT US 93 Peterson Wetland Mitigation Site,1,100.000000000000000
28,0.009354956879384,Post Creek,Post Creek,1,100.000000000000000
29,0.009356181334489,CSKT Wetland,CSKT Wetland,1,100.000000000000000
30,0.009377614476787,Siever's Dam Removal and Wetland Restoration,Siever's Dam Removal and Wetland Restoration,1,100.000000000000000
31,0.009399298828381,Fox Creek,Fox Creek,1,100.000000000000000
32,0.009401628724989,Freezout Lake WMA,Freezout Lake WMA,1,100.000000000000000
33,0.009448732675883,Emond Ranch Prairie Pothole,Emond Ranch Prairie Pothole,1,100.000000000000000
34,0.009476817078940,Flathead Lake Shoreline,Flathead Lake Shoreline,1,100.000000000000000
35,0.009476817078940,Flathead Lake Shoreline,North Shore Wetland,1,100.000000000000000
36,0.009478561457087,North Shore Wetland,Flathead Lake Shoreline,1,100.000000000000000
37,0.009478561457087,North Shore Wetland,North shore Flathead lake wma,1,100.000000000000000
38,0.009478561457087,North Shore Wetland,North Shore Wetland,1,100.000000000000000
39,0.009478749712420,North shore Flathead lake wma,North shore Flathead lake wma,1,100.000000000000000
40,0.009478749712420,North shore Flathead lake wma,North Shore Wetland,1,100.000000000000000
41,0.009481824078496,Schrieber Lake Mitigation site,Schrieber Lake Mitigation site,1,100.000000000000000
42,0.009481824078496,Schrieber Lake Mitigation site,Schrieber Meadows Mitigation site,1,100.000000000000000
43,0.009482099334002,Schrieber Meadows Mitigation site,Schrieber Lake Mitigation site,1,100.000000000000000
44,0.009482099334002,Schrieber Meadows Mitigation site,Schrieber Meadows Mitigation site,1,100.000000000000000
45,0.009487623135364, Smith Lake Wetland, Smith Lake Wetland,1,100.000000000000000
46,0.009487869437778,Ashley Creek Riparian Restoration,Ashley Creek Riparian Restoration,1,100.000000000000000
47,0.009487869437778,Ashley Creek Riparian Restoration,Foyes bend fisheries conservation area,1,100.000000000000000
48,0.009490384646119,Foyes bend fisheries conservation area,Ashley Creek Riparian Restoration,1,100.000000000000000
49,0.009490384646119,Foyes bend fisheries conservation area,Flathead River Wetland,1,100.000000000000000
50,0.009490384646119,Foyes bend fisheries conservation area,Foyes bend fisheries conservation area,1,100.000000000000000
51,0.009490384646119,Foyes bend fisheries conservation area,Owen Sowerwine Natural Area,1,100.000000000000000
52,0.009492335839909,Diamond B Riparian Restoration,Diamond B Riparian Restoration,1,100.000000000000000
53,0.009495691799146,Below Dahl Lake,Below Dahl Lake,1,100.000000000000000
54,0.009495691799146,Below Dahl Lake,Lower Moose Pond,1,100.000000000000000
55,0.009495691799146,Below Dahl Lake,Upper Moose Pond,1,100.000000000000000
56,0.009495691799146,Below Dahl Lake,West Office Meadow,1,100.000000000000000
57,0.009497481092059,Owen Sowerwine Natural Area,Brenneman Slough,1,100.000000000000000
58,0.009497481092059,Owen Sowerwine Natural Area,Flathead River Wetland,1,100.000000000000000
59,0.009497481092059,Owen Sowerwine Natural Area,Foyes bend fisheries conservation area,1,100.000000000000000
60,0.009497481092059,Owen Sowerwine Natural Area,Owen Sowerwine Natural Area,1,100.000000000000000
61,0.009497579065358,West Office Meadow,Below Dahl Lake,1,100.000000000000000
62,0.009497579065358,West Office Meadow,Lower Moose Pond,1,100.000000000000000
63,0.009497579065358,West Office Meadow,Upper Moose Pond,1,100.000000000000000
64,0.009497579065358,West Office Meadow,West Office Meadow,1,100.000000000000000
65,0.009498053021336,Lower Moose Pond,Below Dahl Lake,1,100.000000000000000
66,0.009498053021336,Lower Moose Pond,Lower Moose Pond,1,100.000000000000000
67,0.009498053021336,Lower Moose Pond,Upper Moose Pond,1,100.000000000000000
68,0.009498053021336,Lower Moose Pond,West Office Meadow,1,100.000000000000000
69,0.009498095687472,Flathead River Wetland,Brenneman Slough,1,100.000000000000000
70,0.009498095687472,Flathead River Wetland,Flathead River Wetland,1,100.000000000000000
71,0.009498095687472,Flathead River Wetland,Foyes bend fisheries conservation area,1,100.000000000000000
72,0.009498095687472,Flathead River Wetland,Owen Sowerwine Natural Area,1,100.000000000000000
73,0.009498891750770,Upper Moose Pond,Below Dahl Lake,1,100.000000000000000
74,0.009498891750770,Upper Moose Pond,Lower Moose Pond,1,100.000000000000000
75,0.009498891750770,Upper Moose Pond,Upper Moose Pond,1,100.000000000000000
76,0.009498891750770,Upper Moose Pond,West Office Meadow,1,100.000000000000000
77,0.009499546762219,Brenneman Slough,Brenneman Slough,1,100.000000000000000
78,0.009499546762219,Brenneman Slough,Flathead River Wetland,1,100.000000000000000
79,0.009499546762219,Brenneman Slough,Owen Sowerwine Natural Area,1,100.000000000000000
80,0.009502217305054,Blackwell Flats,Blackwell Flats,1,100.000000000000000
81,0.009502217305054,Blackwell Flats,Dunn Creek,1,100.000000000000000
82,0.009504021119076,Dunn Creek,Blackwell Flats,1,100.000000000000000
